X_Value,Temperature_0,Temperature_1,Temperature_2
68.3,222.959869,261.998611,193.534062
68.4,222.642954,261.079949,193.693425
68.5,222.642954,261.079949,193.693425
68.6,222.642954,261.079949,193.693425
68.7,222.270529,260.162559,193.81557
68.8,222.270529,260.162559,193.81557
68.9,222.270529,260.162559,193.81557
69,221.861545,259.268865,193.90861
69.1,221.861545,259.268865,193.90861
69.2,221.861545,259.268865,193.90861
69.3,221.475507,258.329963,194.020018
69.4,221.475507,258.329963,194.020018
69.5,221.475507,258.329963,194.020018
69.6,221.099145,257.432991,194.134525
69.7,221.099145,257.432991,194.134525
69.8,221.099145,257.432991,194.134525
69.9,220.682887,256.500126,194.185815
70,220.682887,256.500126,194.185815
70.1,220.682887,256.500126,194.185815
70.2,220.284841,255.630283,194.258574
70.3,220.284841,255.630283,194.258574
70.4,220.284841,255.630283,194.258574
70.5,219.864916,254.70652,194.284815
70.6,219.864916,254.70652,194.284815
70.7,219.864916,254.70652,194.284815
70.8,219.445647,253.841152,194.317258
70.9,219.445647,253.841152,194.317258
71,219.445647,253.841152,194.317258
71.1,219.05053,252.984829,194.321791
71.2,219.05053,252.984829,194.321791
71.3,219.05053,252.984829,194.321791
71.4,218.636139,252.156303,194.304854
71.5,218.636139,252.156303,194.304854
71.6,218.636139,252.156303,194.304854
71.7,218.239498,251.315528,194.293642
71.8,218.239498,251.315528,194.293642
71.9,218.239498,251.315528,194.293642
72,217.840436,250.524621,194.294119
72.1,217.840436,250.524621,194.294119
72.2,217.840436,250.524621,194.294119
72.3,217.409983,249.690056,194.283622
72.4,217.409983,249.690056,194.283622
72.5,217.409983,249.690056,194.283622
72.6,217.025544,248.8871,194.268116
72.7,217.025544,248.8871,194.268116
72.8,217.025544,248.8871,194.268116
72.9,216.610187,248.109919,194.249032
73,216.610187,248.109919,194.249032
73.1,216.610187,248.109919,194.249032
73.2,216.209505,247.307592,194.198936
73.3,216.209505,247.307592,194.198936
73.4,216.209505,247.307592,194.198936
73.5,215.817567,246.557598,194.150986
73.6,215.817567,246.557598,194.150986
73.7,215.817567,246.557598,194.150986
73.8,215.390422,245.787396,194.037432
